Card ID,Owned,Card Name,Set,Series,Release Date,Number,Rarity,Market Price,eBay,Bulbapedia
pgo-50,,Dragonite VSTAR,Pokémon GO,Sword & Shield,2022/07/01,50,Rare Holo VSTAR,$3.47,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+VSTAR+Pok%C3%A9mon+GO+50,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+VSTAR+Pok%C3%A9mon+GO+50&ns0=1
pgo-76,,Dragonite V,Pokémon GO,Sword & Shield,2022/07/01,76,Rare Ultra,$17.34,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+V+Pok%C3%A9mon+GO+76,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+V+Pok%C3%A9mon+GO+76&ns0=1
pgo-81,,Dragonite VSTAR,Pokémon GO,Sword & Shield,2022/07/01,81,Rare Rainbow,$50.89,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+VSTAR+Pok%C3%A9mon+GO+81,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+VSTAR+Pok%C3%A9mon+GO+81&ns0=1
swsh12-131,,Dragonite,Silver Tempest,Sword & Shield,2022/11/11,131,Rare Holo,$1.73,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+Silver+Tempest+131,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+Silver+Tempest+131&ns0=1
sv3-159,,Dragonite ex,Obsidian Flames,Scarlet & Violet,2023/08/11,159,Double Rare,$2.54,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+ex+Obsidian+Flames+159,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+ex+Obsidian+Flames+159&ns0=1
sv3pt5-149,,Dragonite,151,Scarlet & Violet,2023/09/22,149,Rare,$1.89,https://www.ebay.com/sch/i.html?_nkw=pokemon+Dragonite+151+149,https://bulbapedia.bulbagarden.net/w/index.php?search=Dragonite+151+149&ns0=1
me2pt5-152,,Mega Dragonite ex,Ascended Heroes,Mega Evolution,2026/01/30,152,Double Rare,,https://www.ebay.com/sch/i.html?_nkw=pokemon+Mega+Dragonite+ex+Ascended+Heroes+152,https://bulbapedia.bulbagarden.net/w/index.php?search=Mega+Dragonite+ex+Ascended+Heroes+152&ns0=1
me2pt5-271,,Mega Dragonite ex,Ascended Heroes,Mega Evolution,2026/01/30,271,MEGA_ATTACK_RARE,,https://www.ebay.com/sch/i.html?_nkw=pokemon+Mega+Dragonite+ex+Ascended+Heroes+271,https://bulbapedia.bulbagarden.net/w/index.php?search=Mega+Dragonite+ex+Ascended+Heroes+271&ns0=1
me2pt5-290,,Mega Dragonite ex,Ascended Heroes,Mega Evolution,2026/01/30,290,Special Illustration Rare,,https://www.ebay.com/sch/i.html?_nkw=pokemon+Mega+Dragonite+ex+Ascended+Heroes+290,https://bulbapedia.bulbagarden.net/w/index.php?search=Mega+Dragonite+ex+Ascended+Heroes+290&ns0=1
me2pt5-295,,Mega Dragonite ex,Ascended Heroes,Mega Evolution,2026/01/30,295,Mega Hyper Rare,,https://www.ebay.com/sch/i.html?_nkw=pokemon+Mega+Dragonite+ex+Ascended+Heroes+295,https://bulbapedia.bulbagarden.net/w/index.php?search=Mega+Dragonite+ex+Ascended+Heroes+295&ns0=1
